trans1 trans2 trans3 trans4 trans5 trans6 scaffold chr auto male_avg female_avg gene bias
ScZCZ4B_141.g18391 10.4271434569628 3.00087336331519 5.96170728202252 25.4985858240731 32.3903261503142 17.2526079966448 ScZCZ4B_141 chr4 autosomes 6.4632413674335 25.0471733236774 ScZCZ4B_141.g18391 female-biased
ScZCZ4B_141.g18392 2.1951880962027 12.0034934532608 2.55501740658108 1.59366161400457 1.24578177501208 0 ScZCZ4B_141 chr4 autosomes 5.58456631868153 0.946481129672217 ScZCZ4B_141.g18392 unexpressed
ScZCZ4B_141.g18393 12.0735345291148 3.00087336331519 15.3301044394865 12.7492929120365 9.96625420009668 7.66782577628658 ScZCZ4B_141 chr4 autosomes 10.1348374439722 10.1277909628066 ScZCZ4B_141.g18393 unbiased
ScZCZ4B_141.g18394 52.1357172848141 51.0148471763583 49.1131123709475 28.6859090520822 34.8818897003384 11.5017386644299 ScZCZ4B_141 chr4 autosomes 50.75455894404 25.0231791389502 ScZCZ4B_141.g18394 unbiased
ScZCZ4B_141.g18395 531.235519281053 744.216594102168 570.336663313488 827.11037766837 1139.89032413606 1198.09777754478 ScZCZ4B_141 chr4 autosomes 615.26292556557 1055.03282644974 ScZCZ4B_141.g18395 unbiased
ScZCZ4B_141.g18396 531.235519281053 952.777292852574 541.379799372236 857.389948334456 1075.10967183543 1134.83821489041 ScZCZ4B_141 chr4 autosomes 675.130870501954 1022.4459450201 ScZCZ4B_141.g18396 unbiased
ScZCZ4B_141.g18397 0 3.00087336331519 0.567781645906907 0 0 0 ScZCZ4B_141 chr4 autosomes 1.1895516697407 0 ScZCZ4B_141.g18397 unexpressed
ScZCZ4B_141.g18398 769.413427719045 1227.35720559591 734.993340626491 1093.25186720713 1382.81777026341 1568.0703712506 ScZCZ4B_141 chr4 autosomes 910.587991313815 1348.04666957371 ScZCZ4B_141.g18398 unbiased
ScZCZ4B_141.g18399 606.969508600046 1081.81484747513 581.97618705458 1035.88004910297 1133.661415261 1215.35038554142 ScZCZ4B_141 chr4 autosomes 756.920181043252 1128.2972833018 ScZCZ4B_141.g18399 unbiased
ScZCZ4B_141.g18400 0 0 0 0 0 0 ScZCZ4B_141 chr4 autosomes 0 0 ScZCZ4B_141.g18400 unexpressed
ScZCZ4B_141.g18401 0 0 0 0 0 0 ScZCZ4B_141 chr4 autosomes 0 0 ScZCZ4B_141.g18401 unexpressed
ScZCZ4B_141.g18402 0 0 0 0 0 0 ScZCZ4B_141 chr4 autosomes 0 0 ScZCZ4B_141.g18402 unexpressed
ScZCZ4B_141.g18403 0 0 0 0 0 0 ScZCZ4B_141 chr4 autosomes 0 0 ScZCZ4B_141.g18403 unexpressed
ScZCZ4B_141.g18404 0 0 0 0 0 0 ScZCZ4B_141 chr4 autosomes 0 0 ScZCZ4B_141.g18404 unexpressed
ScZCZ4B_141.g18405 5.48797024050674 0 6.24559810497598 15.9366161400457 4.98312710004834 3.83391288814329 ScZCZ4B_141 chr4 autosomes 3.91118944849424 8.25121870941244 ScZCZ4B_141.g18405 unbiased
ScZCZ4B_141.g18406 16.4639107215202 12.0034934532608 32.6474446396472 3.18732322800913 6.22890887506042 15.3356515525732 ScZCZ4B_141 chr4 autosomes 20.3716162714761 8.25062788521425 ScZCZ4B_141.g18406 unbiased
ScZCZ4B_141.g18407 21.4030839379763 42.0122270864127 24.9823924199039 7.96830807002283 9.96625420009668 3.83391288814329 ScZCZ4B_141 chr4 autosomes 29.4659011480976 7.2561583860876 ScZCZ4B_141.g18407 male-biased
ScZCZ4B_141.g18408 0 0 0.567781645906907 0 0 0 ScZCZ4B_141 chr4 autosomes 0.189260548635636 0 ScZCZ4B_141.g18408 unexpressed
ScZCZ4B_141.g18409 26.3422571544324 10.5030567716032 24.6985015969505 7.96830807002283 12.4578177501208 3.83391288814329 ScZCZ4B_141 chr4 autosomes 20.5146051743287 8.08667956942897 ScZCZ4B_141.g18409 unbiased
ScZCZ4B_141.g18410 199.213319730395 115.533624487635 190.774633024721 68.5274494021963 52.3228345505076 61.3426062102926 ScZCZ4B_141 chr4 autosomes 168.50719241425 60.7309633876655 ScZCZ4B_141.g18410 male-biased
ScZCZ4B_141.g18411 30.1838363227871 25.5074235881791 30.9440997019264 0 0 0 ScZCZ4B_141 chr4 autosomes 28.8784532042975 0 ScZCZ4B_141.g18411 male-biased
ScZCZ4B_141.g18412 71.3436131265877 54.0157205396735 76.9344130203859 19.1239393680548 12.4578177501208 1.91695644407164 ScZCZ4B_141 chr4 autosomes 67.431248895549 11.1662378540824 ScZCZ4B_141.g18412 male-biased
ScZCZ4B_141.g18413 31.8302273949391 9.00262008994558 38.0413702757628 33.4668938940959 34.8818897003384 13.4186951085015 ScZCZ4B_141 chr4 autosomes 26.2914059202158 27.2558262343119 ScZCZ4B_141.g18413 unbiased
ScZCZ4B_141.g18414 1521.81414769252 946.775546125943 1418.31855147545 35.0605555081004 39.8650168003867 30.6713031051463 ScZCZ4B_141 chr4 autosomes 1295.63608176464 35.1989584712111 ScZCZ4B_141.g18414 male-biased
ScZCZ4B_141.g18415 0 0 1.13556329181381 0 0 0 ScZCZ4B_141 chr4 autosomes 0.37852109727127 0 ScZCZ4B_141.g18415 unexpressed
ScZCZ4B_141.g18416 870.39208014437 1863.54235861873 780.699763121997 591.248458795694 727.536556607057 628.761713655499 ScZCZ4B_141 chr4 autosomes 1171.5447339617 649.182243019417 ScZCZ4B_141.g18416 unbiased
ScZCZ4B_141.g18417 164.090310191152 277.580786106655 187.651833972233 184.86474722453 208.045556427018 118.851299532442 ScZCZ4B_141 chr4 autosomes 209.774310090013 170.58720106133 ScZCZ4B_141.g18417 unbiased
ScZCZ4B_141.g18418 1.09759404810135 0 1.13556329181381 0 0 0 ScZCZ4B_141 chr4 autosomes 0.74438577997172 0 ScZCZ4B_141.g18418 unexpressed
ScZCZ4B_141.g18419 1.09759404810135 3.00087336331519 5.96170728202252 7.96830807002283 2.49156355002417 11.5017386644299 ScZCZ4B_141 chr4 autosomes 3.35339156447969 7.3205367614923 ScZCZ4B_141.g18419 unbiased
ScZCZ4B_141.g18420 5.48797024050674 6.00174672663038 8.23283386565015 7.96830807002283 9.96625420009668 3.83391288814329 ScZCZ4B_141 chr4 autosomes 6.57418361092909 7.2561583860876 ScZCZ4B_141.g18420 unbiased
ScZCZ4B_141.g18421 105.369028617729 66.0192139929342 114.691892473195 121.118282664347 135.790213476317 120.768255976514 ScZCZ4B_141 chr4 autosomes 95.3600450279527 125.892250705726 ScZCZ4B_141.g18421 unbiased
ScZCZ4B_141.g18422 68.0508309822836 78.022707446195 44.0030775577853 33.4668938940959 27.4071990502659 19.1695644407164 ScZCZ4B_141 chr4 autosomes 63.3588719954213 26.6812191283594 ScZCZ4B_141.g18422 male-biased
ScZCZ4B_141.g18423 18.6590988177229 34.5100436781247 30.0924272330661 15.9366161400457 11.2120359751088 13.4186951085015 ScZCZ4B_141 chr4 autosomes 27.7538565763046 13.522449074552 ScZCZ4B_141.g18423 unbiased
ScZCZ4B_141.g18424 62.0140637177262 46.5135371313855 51.6681297775285 38.2478787361096 36.1276714753505 51.7578239899344 ScZCZ4B_141 chr4 autosomes 53.3985768755467 42.0444580671315 ScZCZ4B_141.g18424 unbiased
ScZCZ4B_141.g18425 0 0 0.283890822953454 1.59366161400457 0 7.66782577628658 ScZCZ4B_141 chr4 autosomes 0.094630274317818 3.08716246343038 ScZCZ4B_141.g18425 unexpressed
ScZCZ4B_141.g18426 34.5742125151925 30.0087336331519 24.6985015969505 14.3429545260411 21.1782901752054 24.9204337729314 ScZCZ4B_141 chr4 autosomes 29.760482581765 20.1472261580593 ScZCZ4B_141.g18426 unbiased
ScZCZ4B_141.g18427 17.5615047696216 0 8.51672468860361 3.18732322800913 6.22890887506042 11.5017386644299 ScZCZ4B_141 chr4 autosomes 8.69274315274174 6.97265692249982 ScZCZ4B_141.g18427 unbiased
ScZCZ4B_141.g18428 11.5247375050642 3.00087336331519 15.3301044394865 6.37464645601826 7.47469065007251 1.91695644407164 ScZCZ4B_141 chr4 autosomes 9.95190510262196 5.25543118338747 ScZCZ4B_141.g18428 unbiased
ScZCZ4B_141.g18429 59.8188756215235 18.0052401798912 60.1848544661322 30.2795706660867 16.1951630751571 19.1695644407164 ScZCZ4B_141 chr4 autosomes 46.0029900891823 21.8814327273201 ScZCZ4B_141.g18429 unbiased
ScZCZ4B_141.g18430 119.088954218996 82.5240174911678 143.648756414447 60.5591413321735 38.6192350253746 49.8408675458627 ScZCZ4B_141 chr4 autosomes 115.087242708204 49.6730813011369 ScZCZ4B_141.g18430 male-biased
ScZCZ4B_141.g18431 7.68315833670944 0 0.567781645906907 0 0 3.83391288814329 ScZCZ4B_141 chr4 autosomes 2.75031332753878 1.27797096271443 ScZCZ4B_141.g18431 unexpressed
ScZCZ4B_141.g18432 65.8556428860809 60.0174672663038 85.4511377089895 20.7176009820594 12.4578177501208 15.3356515525732 ScZCZ4B_141 chr4 autosomes 70.4414159537914 16.1703567615845 ScZCZ4B_141.g18432 male-biased
ScZCZ4B_141.g18433 14.2687226253175 24.0069869065215 21.5757025444625 15.9366161400457 16.1951630751571 9.58478222035822 ScZCZ4B_141 chr4 autosomes 19.9504706921005 13.9055204785203 ScZCZ4B_141.g18433 unbiased
ScZCZ4B_141.g18434 46.0989500202566 37.5109170414399 37.1896978069024 28.6859090520822 33.6361079253263 17.2526079966448 ScZCZ4B_141 chr4 autosomes 40.2665216228663 26.5248749913511 ScZCZ4B_141.g18434 unbiased
ScZCZ4B_141.g18435 110.856998858236 109.531877761005 129.738106089728 145.023206874415 119.59505040116 120.768255976514 ScZCZ4B_141 chr4 autosomes 116.708994236323 128.46217108403 ScZCZ4B_141.g18435 unbiased
ScZCZ4B_141.g18436 0 0 0 0 0 0 ScZCZ4B_141 chr4 autosomes 0 0 ScZCZ4B_141.g18436 unexpressed
ScZCZ4B_141.g18437 49.3917321645607 67.5196506745918 35.4863528691817 143.429545260411 147.002249451426 164.858254190161 ScZCZ4B_141 chr4 autosomes 50.7992452361114 151.763349633999 ScZCZ4B_141.g18437 female-biased
ScZCZ4B_141.g18438 8.23195536076011 3.00087336331519 8.51672468860361 0 4.98312710004834 0 ScZCZ4B_141 chr4 autosomes 6.58318447089297 1.66104236668278 ScZCZ4B_141.g18438 unexpressed
ScZCZ4B_141.g18439 0 3.00087336331519 0.283890822953454 0 0 0 ScZCZ4B_141 chr4 autosomes 1.09492139542288 0 ScZCZ4B_141.g18439 unexpressed
ScZCZ4B_141.g18440 40.0621827556992 115.533624487635 68.4176883317823 124.305605892356 95.9251966759305 86.263039983224 ScZCZ4B_141 chr4 autosomes 74.6711651917055 102.164614183837 ScZCZ4B_141.g18440 unbiased
ScZCZ4B_141.g18441 0.548797024050674 0 0.851672468860361 0 2.49156355002417 0 ScZCZ4B_141 chr4 autosomes 0.466823164303678 0.83052118334139 ScZCZ4B_141.g18441 unexpressed
ScZCZ4B_141.g18442 2.74398512025337 0 3.6905806983949 12.7492929120365 4.98312710004834 5.75086933221493 ScZCZ4B_141 chr4 autosomes 2.14485527288276 7.82776311476659 ScZCZ4B_141.g18442 unexpressed
ScZCZ4B_141.g18443 1.09759404810135 0 1.98723576067417 0 2.49156355002417 5.75086933221493 ScZCZ4B_141 chr4 autosomes 1.02827660292517 2.74747762741303 ScZCZ4B_141.g18443 unexpressed
ScZCZ4B_141.g18444 0 0 0 0 0 0 ScZCZ4B_141 chr4 autosomes 0 0 ScZCZ4B_141.g18444 unexpressed
ScZCZ4B_141.g18445 8.23195536076011 7.50218340828798 1.98723576067417 17.5302777540502 9.96625420009668 3.83391288814329 ScZCZ4B_141 chr4 autosomes 5.90712484324075 10.4434816140967 ScZCZ4B_141.g18445 unbiased
ScZCZ4B_141.g18446 15.3663166734189 9.00262008994558 12.7750870329054 31.8732322800913 37.3734532503625 59.425649766221 ScZCZ4B_141 chr4 autosomes 12.3813412654233 42.8907784322249 ScZCZ4B_141.g18446 female-biased
ScZCZ4B_141.g18447 38.9645887075979 30.0087336331519 43.1514050889249 36.654217122105 47.3397074504592 82.4291270950807 ScZCZ4B_141 chr4 autosomes 37.3749091432249 55.4743505558816 ScZCZ4B_141.g18447 unbiased
ScZCZ4B_141.g18448 57.0748905012701 99.0288209894013 47.4097674332267 105.181666524301 79.7300336007734 172.526079966448 ScZCZ4B_141 chr4 autosomes 67.837826307966 119.145926697174 ScZCZ4B_141.g18448 unbiased
ScZCZ4B_141.g18449 41.1597768038006 15.004366816576 57.6298370595511 14.3429545260411 24.9156355002417 51.7578239899344 ScZCZ4B_141 chr4 autosomes 37.9313268933092 30.3388046720724 ScZCZ4B_141.g18449 unbiased
ScZCZ4B_141.g18450 0 0 0 0 0 0 ScZCZ4B_141 chr4 autosomes 0 0 ScZCZ4B_141.g18450 unexpressed
ScZCZ4B_141.g18451 0 0 0 0 0 0 ScZCZ4B_141 chr4 autosomes 0 0 ScZCZ4B_141.g18451 unexpressed
ScZCZ4B_141.g18452 0 0 0 0 0 0 ScZCZ4B_141 chr4 autosomes 0 0 ScZCZ4B_141.g18452 unexpressed
ScZCZ4B_141.g18453 1.09759404810135 0 1.13556329181381 0 0 0 ScZCZ4B_141 chr4 autosomes 0.74438577997172 0 ScZCZ4B_141.g18453 unexpressed
ScZCZ4B_141.g18454 0 0 0 0 0 0 ScZCZ4B_141 chr4 autosomes 0 0 ScZCZ4B_141.g18454 unexpressed
ScZCZ4B_141.g18455 0 0 0 0 0 0 ScZCZ4B_141 chr4 autosomes 0 0 ScZCZ4B_141.g18455 unexpressed
ScZCZ4B_141.g18456 0 0 0 0 0 0 ScZCZ4B_141 chr4 autosomes 0 0 ScZCZ4B_141.g18456 unexpressed
ScZCZ4B_141.g18457 21.951880962027 12.0034934532608 11.6395237410916 4.7809848420137 7.47469065007251 5.75086933221493 ScZCZ4B_141 chr4 autosomes 15.1982993854598 6.00218160810038 ScZCZ4B_141.g18457 unbiased
ScZCZ4B_141.g18458 0 0 0 0 3.73734532503625 0 ScZCZ4B_141 chr4 autosomes 0 1.24578177501208 ScZCZ4B_141.g18458 unexpressed
ScZCZ4B_141.g18459 3.29278214430405 9.00262008994558 5.11003481316216 0 1.24578177501208 3.83391288814329 ScZCZ4B_141 chr4 autosomes 5.80181234913726 1.69323155438512 ScZCZ4B_141.g18459 unexpressed
ScZCZ4B_141.g18460 45.550152996206 33.0096069964671 33.783007931461 23.9049242100685 11.2120359751088 47.9239111017911 ScZCZ4B_141 chr4 autosomes 37.4475893080447 27.6802904289895 ScZCZ4B_141.g18460 unbiased
ScZCZ4B_141.g18461 0 1.5004366816576 0.283890822953454 0 0 3.83391288814329 ScZCZ4B_141 chr4 autosomes 0.594775834870351 1.27797096271443 ScZCZ4B_141.g18461 unexpressed
ScZCZ4B_141.g18462 75.7339893189931 124.53624457758 99.3617880337087 63.7464645601826 39.8650168003867 53.674780434006 ScZCZ4B_141 chr4 autosomes 99.8773406434273 52.4287539315251 ScZCZ4B_141.g18462 unbiased
ScZCZ4B_141.g18463 135.552864940517 115.533624487635 191.342414670628 46.2161868061324 54.8143981005317 23.0034773288597 ScZCZ4B_141 chr4 autosomes 147.47630136626 41.3446874118413 ScZCZ4B_141.g18463 male-biased
ScZCZ4B_141.g18464 7.13436131265877 25.5074235881791 8.23283386565015 17.5302777540502 19.9325084001934 19.1695644407164 ScZCZ4B_141 chr4 autosomes 13.6248729221627 18.87745019832 ScZCZ4B_141.g18464 unbiased
ScZCZ4B_141.g18465 23.0494750101283 25.5074235881791 15.6139952624399 31.8732322800913 9.96625420009668 24.9204337729314 ScZCZ4B_141 chr4 autosomes 21.3902979535824 22.2533067510398 ScZCZ4B_141.g18465 unbiased
ScZCZ4B_141.g18466 4.39037619240539 1.5004366816576 3.97447152134835 0 0 0 ScZCZ4B_141 chr4 autosomes 3.28842813180378 0 ScZCZ4B_141.g18466 unexpressed
ScZCZ4B_141.g18467 25.7934601303817 9.00262008994558 27.2535190035315 4.7809848420137 16.1951630751571 23.0034773288597 ScZCZ4B_141 chr4 autosomes 20.6831997412863 14.6598750820102 ScZCZ4B_141.g18467 unbiased
ScZCZ4B_141.g18468 38.9645887075979 54.0157205396735 45.4225316725526 15.9366161400457 19.9325084001934 15.3356515525732 ScZCZ4B_141 chr4 autosomes 46.134280306608 17.0682586976041 ScZCZ4B_141.g18468 male-biased
ScZCZ4B_141.g18469 8.23195536076011 15.004366816576 5.39392563611562 3.18732322800913 9.96625420009668 1.91695644407164 ScZCZ4B_141 chr4 autosomes 9.54341593781724 5.02351129072582 ScZCZ4B_141.g18469 unbiased
ScZCZ4B_141.g18470 90.0027119443106 60.0174672663038 86.3028101778499 19.1239393680548 7.47469065007251 26.837390217003 ScZCZ4B_141 chr4 autosomes 78.7743297961548 17.8120067450434 ScZCZ4B_141.g18470 male-biased
ScZCZ4B_141.g18471 0 1.5004366816576 0 0 0 0 ScZCZ4B_141 chr4 autosomes 0.500145560552533 0 ScZCZ4B_141.g18471 unexpressed
ScZCZ4B_141.g18472 99.8810583772227 78.022707446195 95.6712073353139 65.3401261741872 61.0433069755921 40.2560853255045 ScZCZ4B_141 chr4 autosomes 91.1916577195772 55.5465061584279 ScZCZ4B_141.g18472 unbiased
ScZCZ4B_141.g18473 57.0748905012701 24.0069869065215 35.4863528691817 46.2161868061324 17.4409448501692 36.4221724373612 ScZCZ4B_141 chr4 autosomes 38.8560767589911 33.3597680312209 ScZCZ4B_141.g18473 unbiased
ScZCZ4B_141.g18474 407.2073918456 306.08908305815 500.499520866939 229.487272416657 245.419009677381 147.605646193517 ScZCZ4B_141 chr4 autosomes 404.598665256896 207.503976095852 ScZCZ4B_141.g18474 unbiased
ScZCZ4B_141.g18475 15.9151136974696 12.0034934532608 10.5039604492778 17.5302777540502 11.2120359751088 15.3356515525732 ScZCZ4B_141 chr4 autosomes 12.8075225333361 14.6926550939107 ScZCZ4B_141.g18475 unbiased
ScZCZ4B_141.g18476 2.1951880962027 0 2.83890822953454 3.18732322800913 1.24578177501208 0 ScZCZ4B_141 chr4 autosomes 1.67803210857908 1.47770166767374 ScZCZ4B_141.g18476 unexpressed
ScZCZ4B_141.g18477 1.09759404810135 0 0 0 0 0 ScZCZ4B_141 chr4 autosomes 0.36586468270045 0 ScZCZ4B_141.g18477 unexpressed
ScZCZ4B_141.g18478 100.429855401273 159.046288255705 62.1720902268063 224.706287574644 211.782901752054 155.273471969803 ScZCZ4B_141 chr4 autosomes 107.216077961261 197.254220432167 ScZCZ4B_141.g18478 unbiased
ScZCZ4B_141.g18479 11.5247375050642 10.5030567716032 6.81337975088289 1.59366161400457 6.22890887506042 9.58478222035822 ScZCZ4B_141 chr4 autosomes 9.6137246758501 5.80245090314107 ScZCZ4B_141.g18479 unbiased
ScZCZ4B_141.g18480 0 0 0.567781645906907 0 0 0 ScZCZ4B_141 chr4 autosomes 0.189260548635636 0 ScZCZ4B_141.g18480 unexpressed
ScZCZ4B_141.g18481 125.674518507604 120.034934532608 85.4511377089895 62.1528029461781 149.49381300145 118.851299532442 ScZCZ4B_141 chr4 autosomes 110.386863583067 110.16597182669 ScZCZ4B_141.g18481 unbiased
ScZCZ4B_141.g18482 30.1838363227871 55.5161572213311 31.7957721707868 41.4352019641187 63.5348705256163 36.4221724373612 ScZCZ4B_141 chr4 autosomes 39.1652552383017 47.1307483090321 ScZCZ4B_141.g18482 unbiased
ScZCZ4B_141.g18483 111.405795882287 87.0253275361406 69.5532516235961 103.588004910297 68.5179976256646 46.0069546577194 ScZCZ4B_141 chr4 autosomes 89.3281250140079 72.7043190645603 ScZCZ4B_141.g18483 unbiased
ScZCZ4B_141.g18484 25.244663106331 22.5065502248639 49.9647848398078 7.96830807002283 1.24578177501208 7.66782577628658 ScZCZ4B_141 chr4 autosomes 32.5719993903342 5.62730520710716 ScZCZ4B_141.g18484 male-biased
ScZCZ4B_141.g18485 18.1103017936723 25.5074235881791 27.8213006494384 12.7492929120365 17.4409448501692 9.58478222035822 ScZCZ4B_141 chr4 autosomes 23.8130086770966 13.258339994188 ScZCZ4B_141.g18485 unbiased
ScZCZ4B_141.g18486 133.906473868365 120.034934532608 105.607386138685 84.464065542242 112.120359751088 86.263039983224 ScZCZ4B_141 chr4 autosomes 119.849598179886 94.282488425518 ScZCZ4B_141.g18486 unbiased
ScZCZ4B_141.g18487 0 0 1.41945411476727 3.18732322800913 2.49156355002417 3.83391288814329 ScZCZ4B_141 chr4 autosomes 0.47315137158909 3.17093322205886 ScZCZ4B_141.g18487 unexpressed
ScZCZ4B_141.g18488 0 0 0 0 0 0 ScZCZ4B_141 chr4 autosomes 0 0 ScZCZ4B_141.g18488 unexpressed
ScZCZ4B_141.g18489 0 0 0 0 0 0 ScZCZ4B_141 chr4 autosomes 0 0 ScZCZ4B_141.g18489 unexpressed
ScZCZ4B_141.g18490 0 0 0 0 0 0 ScZCZ4B_141 chr4 autosomes 0 0 ScZCZ4B_141.g18490 unexpressed
ScZCZ4B_141.g18491 0 0 0.567781645906907 0 0 0 ScZCZ4B_141 chr4 autosomes 0.189260548635636 0 ScZCZ4B_141.g18491 unexpressed
ScZCZ4B_141.g18492 0 0 0 0 0 0 ScZCZ4B_141 chr4 autosomes 0 0 ScZCZ4B_141.g18492 unexpressed
ScZCZ4B_141.g18493 0 0 0 0 0 0 ScZCZ4B_141 chr4 autosomes 0 0 ScZCZ4B_141.g18493 unexpressed
ScZCZ4B_141.g18494 0 0 0.283890822953454 0 0 0 ScZCZ4B_141 chr4 autosomes 0.094630274317818 0 ScZCZ4B_141.g18494 unexpressed
ScZCZ4B_141.g18495 7.68315833670944 12.0034934532608 8.80061551155706 0 7.47469065007251 0 ScZCZ4B_141 chr4 autosomes 9.49575576717577 2.49156355002417 ScZCZ4B_141.g18495 unbiased
ScZCZ4B_141.g18496 3.84157916835472 6.00174672663038 1.13556329181381 4.7809848420137 7.47469065007251 0 ScZCZ4B_141 chr4 autosomes 3.65962972893297 4.08522516402874 ScZCZ4B_141.g18496 unexpressed
ScZCZ4B_141.g18497 0 3.00087336331519 0.567781645906907 0 0 0 ScZCZ4B_141 chr4 autosomes 1.1895516697407 0 ScZCZ4B_141.g18497 unexpressed
ScZCZ4B_141.g18498 9.87834643291214 16.5048034982336 13.3428686788123 7.96830807002283 9.96625420009668 5.75086933221493 ScZCZ4B_141 chr4 autosomes 13.2420062033193 7.89514386744481 ScZCZ4B_141.g18498 unbiased
ScZCZ4B_141.g18499 71.3436131265877 78.022707446195 48.2614399020871 149.804191716429 154.476940101498 126.519125308728 ScZCZ4B_141 chr4 autosomes 65.8759201582899 143.600085708885 ScZCZ4B_141.g18499 female-biased
ScZCZ4B_141.g18500 303.484754300023 432.125764317388 260.895666294224 787.268837318255 581.780088930644 670.934755425075 ScZCZ4B_141 chr4 autosomes 332.168728303878 679.994560557991 ScZCZ4B_141.g18500 female-biased
ScZCZ4B_141.g18501 10.9759404810135 6.00174672663038 16.1817769083469 6.37464645601826 0 3.83391288814329 ScZCZ4B_141 chr4 autosomes 11.0531547053303 3.40285311472052 ScZCZ4B_141.g18501 unbiased
ScZCZ4B_141.g18502 74.6363952708917 76.5222707645374 58.7654003513649 58.9654797181689 28.6529808252779 51.7578239899344 ScZCZ4B_141 chr4 autosomes 69.974688795598 46.4587615111271 ScZCZ4B_141.g18502 unbiased
ScZCZ4B_141.g18503 168.480686383557 141.041048075814 166.927803896631 105.181666524301 74.7469065007251 134.186951085015 ScZCZ4B_141 chr4 autosomes 158.816512785334 104.705174703347 ScZCZ4B_141.g18503 unbiased
ScZCZ4B_141.g18504 230.494750101283 309.089956421465 244.99778020883 181.677423996521 159.460067201547 203.197383071594 ScZCZ4B_141 chr4 autosomes 261.527495577193 181.444958089887 ScZCZ4B_141.g18504 unbiased
ScZCZ4B_141.g18505 23.598272034179 21.0061135432063 25.5501740658108 4.7809848420137 11.2120359751088 0 ScZCZ4B_141 chr4 autosomes 23.3848532143987 5.33100693904083 ScZCZ4B_141.g18505 unbiased
ScZCZ4B_141.g18506 276.59370012154 133.538864667526 277.361334025524 592.842120409699 363.768278303529 322.048682604036 ScZCZ4B_141 chr4 autosomes 229.164632938197 426.219693772421 ScZCZ4B_141.g18506 unbiased
ScZCZ4B_141.g18507 10.4271434569628 15.004366816576 15.3301044394865 4.7809848420137 4.98312710004834 7.66782577628658 ScZCZ4B_141 chr4 autosomes 13.5872049043418 5.81064590611621 ScZCZ4B_141.g18507 unbiased
ScZCZ4B_141.g18508 6.03676726455742 9.00262008994558 4.54225316725526 3.18732322800913 2.49156355002417 7.66782577628658 ScZCZ4B_141 chr4 autosomes 6.52721350725275 4.44890418477329 ScZCZ4B_141.g18508 unbiased
